X,Y,ENFORCEMENT_SPACE_CODE,SITE_CODE,ENFORCEMENT_TYPE,LOCATION_DESCRIPTION,SPEED_LIMIT,DEVICE_MOBILITY,CAMERA_STATUS,ACTIVE_STATUS,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,WARD,ANC,SMD,OBJECTID,GLOBALID
-8572496.1492592,4713369.55031593,ATE 0605,2504,Red Light,N CAPITOL ST N/B @ HAREWOOD RD NE,40,,Live,Active,38.942018,-77.008043,399302.91634012,141568.82103474,5.0,5A,5A05,127745,{39A63775-CFF4-6356-E063-782F520A029D}
-8572597.00469916,4715150.31483808,ATE 0606,2402,Red Light,N CAPITOL ST N/B @ RIGGS RD NE,50,,Live,Active,38.954459,-77.008949,399224.50812252,142949.89120814,5.0,5A,5A07,127746,{39A63775-CFF5-6356-E063-782F520A029D}
-8572618.60062272,4714866.02427649,ATE 0607,2401,Red Light,N CAPITOL ST S/B @ GALLATIN ST NW,30,,Live,Active,38.952473,-77.009143,399207.67057814,142729.42879409,4.0,4D,4D08,127747,{39A63775-CFF6-6356-E063-782F520A029D}
-8579583.30464132,4715147.1655906,ATE 0608,2303,Red Light,NEBRASKA AVE NE/B @ FESSENDEN ST NW,30,,Live,Active,38.954437,-77.071708,393784.70584434,142949.85226691,3.0,3F,3F06,127748,{39A63775-CFF7-6356-E063-782F520A029D}
-8568612.76872227,4709814.25229543,ATE 0609,2502,Red Light,NY AVE E/B @ BLADENSBURG RD NE,35,,Live,Active,38.917173,-76.973158,402328.0038643,138811.12388019,5.0,5C,5C04,127749,{39A63775-CFF8-6356-E063-782F520A029D}
-8568295.73083204,4703541.96174545,ATE 0700,2702,Red Light,PENNSYLVANIA AVE W/B @ MINNESOTA SE,30,,Live,Active,38.87332,-76.97031,402576.57399026,133943.17108874,7.0,7B,7B03,127750,{39A63775-CFF9-6356-E063-782F520A029D}
-8570875.78271412,4710537.80371792,ATE 0701,2506,Red Light,RHODE ISLAND AVE SW/B @ REED ST NE,30,,Live,Active,38.92223,-76.993487,400564.97271467,139372.17127268,5.0,5B,5B04,127751,{39A63775-CFFA-6356-E063-782F520A029D}
-8567763.62366768,4710985.23810515,ATE 0702,2307,Red Light,S DAKOTA SE/B @ BLADENSBURG RD NE,25,,Live,Active,38.925357,-76.96553,402989.18357794,139719.83889,5.0,5C,5C02,127752,{39A63775-CFFB-6356-E063-782F520A029D}
-8580526.95995218,4714418.27559099,ATE 0703,2302,Red Light,WISCONSIN AVE N/B @ BRANDYWINE NW,30,,Live,Active,38.949345,-77.080185,393049.44313674,142385.20559486,3.0,3E,3E05,127753,{39A63775-CFFC-6356-E063-782F520A029D}
-8569041.57146752,4708752.2689011,ATE 0704,1560,Speed,1400 BLK BLADENSBURG RD NE N/B,25,,Live,Active,38.90975,-76.97701,401994.15451856,137987.01839334,5.0,5C,5C04,127754,{39A63775-CFFD-6356-E063-782F520A029D}
-8569435.64244421,4707955.46079736,ATE 0705,1547,Speed,1100 BLK BLADENSBURG RD NE NE/B,25,,Live,Active,38.90418,-76.98055,401687.25500418,137368.63174623,5.0,5D,5D06,127755,{39A63775-CFFE-6356-E063-782F520A029D}
-8569463.47232679,4707976.91810558,ATE 0706,1548,Speed,1100 BLK BLADENSBURG RD NE SW/B,25,,Live,Active,38.90433,-76.9808,401665.56681188,137385.2783676,5.0,5D,5D06,127756,{39A63775-CFFF-6356-E063-782F520A029D}
-8566590.31629467,4702242.3041893,ATE 0707,1759,Speed,3600 BLK ALABAMA AVE SE NE/B,25,,Live,Active,38.86423,-76.95499,403906.4841389,132934.65793497,7.0,7B,7B02,127757,{39A63775-D000-6356-E063-782F520A029D}
-8575683.11485053,4709593.34824537,ATE 0712,7203,Truck Restriction,1500 BLK T ST NW E/B,25,,Live,Active,38.915629,-77.036672,396819.81276367,138640.02372172,2.0,2B,2B09,127758,{39A63775-D001-6356-E063-782F520A029D}
-8577912.73290843,4707711.99627571,ATE 0757,2205,Red Light,K ST E/B @ 27TH ST NW,25,,Live,Active,38.902478,-77.056701,395081.89435101,137181.04387088,2.0,2A,2A04,127759,{39A63775-D002-6356-E063-782F520A029D}
-8575672.20560753,4711511.39578247,ATE 0784,2103,Red Light,16TH ST S/B @ IRVING ST NW,30,,Live,Active,38.929034,-77.036574,396828.90801256,140128.08841024,1.0,1D,1D04,127760,{39A63775-D003-6356-E063-782F520A029D}
-8564762.56158114,4703099.14448997,ATE 0785,1709,Speed,4200 BLK SOUTHERN AVE SE SW/B,25,,Live,Active,38.870223,-76.938571,405330.99764019,133600.75558669,7.0,7B,7B08,127761,{39A63775-D004-6356-E063-782F520A029D}
-8575138.31725623,4705297.69254902,ATE 0787,2206,Red Light,14TH ST N/B @ C ST SW,25,,Live,Active,38.885598,-77.031778,397243.08356574,135306.18334069,6.0,6D,6D01,127762,{39A63775-D005-6356-E063-782F520A029D}
-8579679.2619624,4714344.98867393,ATE 0788,7301,Truck Restriction,4500 BLK RENO RD NW S/B,25,,Live,Active,38.948833,-77.07257,393709.4951836,142327.81670773,3.0,3E,3E05,127763,{39A63775-D006-6356-E063-782F520A029D}
-8570671.6227718,4705593.01358792,ATE 0800,7602,Truck Restriction,1100 BLK INDEPENDENCE AVE SE E/B,25,,Live,Active,38.887663,-76.991653,400724.36212613,135534.96745478,6.0,6B,6B05,127764,{39A63775-D007-6356-E063-782F520A029D}
-8580976.46801288,4716097.14870014,ATE 0801,3303,Stop Sign,MILITARY RD E/B @ 43rd ST NW,25,,Live,Active,38.961073,-77.084223,392700.61510062,143687.43547033,3.0,3E,3E04,127765,{39A63775-D008-6356-E063-782F520A029D}
-8569412.04275255,4707541.91777724,ATE 0802,3506,Stop Sign,MARYLAND AVE SW/B @ NEAL ST NE,25,,Live,Active,38.901289,-76.980338,401705.71273636,137047.71142646,5.0,5D,5D07,127766,{39A63775-D009-6356-E063-782F520A029D}
-8566868.61495377,4706881.22799007,ATE 0804,2707,Red Light,Benning Rd e/b @ 34 St NE,35,,Live,Active,38.89667,-76.95749,403687.83897812,136535.64049309,7.0,7D,7D03,127767,{39A63775-D00A-6356-E063-782F520A029D}
-8565959.13475574,4706633.784351,ATE 0805,2708,Red Light,Minnesota Ave ne/b @ Benning Rd NE,25,,Live,Active,38.89494,-76.94932,404396.67581023,136343.95856895,7.0,7F,7F01,127768,{39A63775-D00B-6356-E063-782F520A029D}
-8573680.25468243,4711582.37268355,ATE 0806,2104,Red Light,Park Pl s/b @ Irving St NW,25,,Live,Active,38.92953,-77.01868,398380.48184413,140182.67908017,1.0,1E,1E04,127769,{39A63775-D00C-6356-E063-782F520A029D}
-8579746.05363718,4711525.13314024,ATE 0807,1320,Speed,3000 blk Wisconsin Ave NW n/b,25,,Live,Active,38.92913,-77.07317,393655.7313733,140140.6526495,3.0,3A,3A02,127770,{39A63775-D00D-6356-E063-782F520A029D}
-8563791.74431844,4705940.11592884,ATE 0808,1722,Speed,5000 blk E Capitol St NE w/b,30,,Live,Active,38.89009,-76.92985,406086.11164709,135806.68844049,7.0,7C,7C03,127771,{39A63775-D00E-6356-E063-782F520A029D}
-8572235.32761594,4709948.3136034,ATE 0809,1550,Speed,100 blk Rhode Island Ave NE ne/b,30,,Live,Active,38.91811,-77.0057,399505.87168643,138914.81196803,5.0,5F,5F04,127772,{39A63775-D00F-6356-E063-782F520A029D}
-8578533.78446064,4708109.95370585,ATE 0813,2210,Red Light,M St w/b @ Wisconsin Ave NW,25,,Live,Active,38.90526,-77.06228,394598.17803905,137490.18362507,2.0,2E,2E05,127773,{39A63775-D010-6356-E063-782F520A029D}
