Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult,2024,4/9/2024,3,6250657ac1294d0d8287df730ba3b1eaafe890c6,f9642be5419e12c04d523900e9107edb36a58f26,43,,,BLACK,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,701,7D,1219400,404800,40.918,-67.26,701,7D,400800,133300,38.864,-76.995
Adult,2024,4/9/2024,10,d90aaeb93c79960e0679ec8948de7bb1053a8930,4a62b9fe15c6b24975cbc691d122efceee0fc44a,41,107,1D,BLACK,UNKNOWN,MALE,Traffic Violations,No Permit,107,1D,401800,135500,38.887,-76.979,107,1D,401700,135500,38.888,-76.98
Adult,2024,4/9/2024,23,64687dca603deb9a752f7f4f16e1f9fd0e18354c,dff9eb06d7efde8320a23a24832a0071e974d29d,39,,,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,607,6D,401300,133400,38.869,-76.986,607,6D,401300,133400,38.869,-76.986
Adult,2024,4/9/2024,11,74496534dcf99f5a05f10328446d180f27d2b181,e833b53c5780e3494d4f1794d26df7fd9b7fbbe3,38,602,6D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property - Misd,608,6D,406700,137000,38.901,-76.923,608,6D,406700,137000,38.901,-76.923
Adult,2024,4/9/2024,15,7add3356a7f2a1fd4ffc0bfd70734db043c49dc7,e360692f2f96c180570ce025fd3db23ba31f246a,38,607,6D,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,607,6D,401200,133400,38.869,-76.986,607,6D,401200,133400,38.869,-76.986
Adult,2024,4/9/2024,20,5a8f58914aa7b667abeadba2eedf59711d0e4651,0c8c10d86ca74d7ba0dcee316d2da58aba07904b,37,,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,607,6D,401400,133300,38.867,-76.984,607,6D,401400,133300,38.867,-76.984
Adult,2024,4/9/2024,18,352a6af0479a194ec83deaba99b98a75f439fa98,132728ed0f9db0484b8c024350b1c5186ac7a373,35,605,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,605,6D,403700,133400,38.869,-76.958,605,6D,403700,133400,38.869,-76.958
Adult,2024,4/9/2024,23,94c0da640b1cbdc3379efbc3f501f8327c6ebf78,bb4222a0239224492935470ff1ead53f2cd2a281,35,,,BLACK,NOT HISPANIC,MALE,Aggravated Assault,Aggravated Assault,303,3D,396400,139200,38.92,-77.042,303,3D,396400,139600,38.924,-77.041
Adult,2024,4/9/2024,12,28445d4c4061cfce30c4aa5597613d5ef756eee8,912e452218c6a5b1792a4824243e8afc173a48a4,35,703,7D,BLACK,UNKNOWN,MALE,Theft,Theft (First Degree),209,2D,397600,137100,38.902,-77.028,209,2D,397600,137100,38.902,-77.028
Adult,2024,4/9/2024,7,b1af00cff9489550485468c417aa6e2ebccf3c7f,67c8a76fabe5c127117c21f38944753966bffae8,35,604,6D,BLACK,UNKNOWN,MALE,Release Violations,Failure To Appear (OAG),507,5D,402100,136700,38.898,-76.975,102,1D,398600,136300,38.894,-77.017
Adult,2024,4/9/2024,17,bc1d421153823c311ae57200677f12e0251a3c2f,6060753d1b2fcaec1631c30207c55a9741b5d6d8,34,404,4D,BLACK,UNKNOWN,FEMALE,Fraud and Financial Crimes,Identity Theft Second Degree,401,4D,398700,144900,38.972,-77.015,401,4D,398700,144900,38.972,-77.015
Adult,2024,4/9/2024,17,8817a8edfdaa15991e02e75e18d8d01aed8a0c7b,4e3bda13ef09bfee9dafb5bd645ff8295d41faa6,34,,,BLACK,NOT HISPANIC,FEMALE,Narcotics,Poss Of A Controlled Substance -misd,101,1D,398100,136600,38.898,-77.022,101,1D,398100,136600,38.898,-77.022
Adult,2024,4/9/2024,2,05885c19c1c78db6d46f8794d9003e5834acc548,8dbb9f8b71504b0d14aeee190dfc77dbe5358203,34,505,5D,BLACK,NOT HISPANIC,MALE,Property Crimes,Unauthorized Use Of A Vehicle,304,3D,397400,139600,38.925,-77.03,304,3D,397400,139600,38.925,-77.03
Adult,2024,4/9/2024,20,4cc10d83856700387b81c49177157caaf959a4c5,97500898458d98a167fa771a0ca803d2a5b4b16a,33,704,7D,BLACK,NOT HISPANIC,MALE,Narcotics,Distribution Of Marijuana-misd,101,1D,398100,136800,38.899,-77.022,101,1D,398100,136800,38.899,-77.022
Adult,2024,4/9/2024,7,33f3b6f07cb4e8d8011a502109162b438d33150e,4d6b0992fd170c0762a5efd70b9d8649ced0237e,33,501,5D,BLACK,NOT HISPANIC,FEMALE,Release Violations,Fugitive From Justice,601,6D,404300,137700,38.907,-76.951,601,6D,404300,137700,38.907,-76.951
Adult,2024,4/9/2024,21,32d9112717d598d635a9a1c47f646d7b9cc9df33,6e42e08d20030499d09f133b983791d255dda4c5,33,208,2D,WHITE,UNKNOWN,MALE,Narcotics,Poss W/i To Dist Marijuana-fel,607,6D,401400,133200,38.867,-76.984,607,6D,401400,133200,38.867,-76.984
Adult,2024,4/9/2024,19,bdcacdb1d7134e284254687cb2dbf393e645348f,457cff49fda597acdda716b491a48c028ddd449a,32,,,BLACK,UNKNOWN,MALE,Theft,Theft (Second Degree),603,6D,404100,135800,38.89,-76.953,603,6D,404100,135800,38.89,-76.953
